witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
53.7061,-10.542,-68.9867,inf,53.7061,-10.542,-68.9867,166.487
53.7073,-10.5407,-68.9868,inf,53.7073,-10.5407,-68.9868,166.487
53.7071,-10.5416,-68.9873,inf,53.7071,-10.5416,-68.9873,166.487
53.708,-10.5408,-68.9876,inf,53.708,-10.5408,-68.9876,166.486
53.7077,-10.5417,-68.988,inf,53.7077,-10.5417,-68.988,166.486
53.7071,-10.5414,-68.9872,inf,53.7071,-10.5414,-68.9872,166.487
53.7066,-10.5463,-68.9905,inf,53.7066,-10.5463,-68.9905,166.487
53.7077,-10.5411,-68.9876,inf,53.7077,-10.5411,-68.9876,166.486
98.4073,-32.6721,-43.1763,inf,98.4073,-32.6721,-43.1763,111.739
53.7072,-10.542,-68.9878,inf,53.7072,-10.542,-68.9878,166.487
53.7077,-10.5419,-68.9882,inf,53.7077,-10.5419,-68.9882,166.486
53.7072,-10.5413,-68.9872,inf,53.7072,-10.5413,-68.9872,166.487
63.7696,-17.3872,-58.75,inf,63.7696,-17.3872,-58.75,151.901
53.707,-10.5469,-68.9914,inf,53.707,-10.5469,-68.9914,166.487
53.7075,-10.5413,-68.9875,inf,53.7075,-10.5413,-68.9875,166.486
53.7086,-10.5407,-68.988,inf,53.7086,-10.5407,-68.988,166.486
53.7072,-10.5413,-68.9872,inf,53.7072,-10.5413,-68.9872,166.487
53.7067,-10.5416,-68.9869,inf,53.7067,-10.5416,-68.9869,166.487
149.703,-37.9246,-7.18272,inf,149.703,-37.9246,-7.18272,52.2229
149.698,-37.9175,-7.17927,inf,149.698,-37.9175,-7.17927,52.2286
53.7075,-10.5409,-68.9871,inf,53.7075,-10.5409,-68.9871,166.486
53.7076,-10.5413,-68.9876,inf,53.7076,-10.5413,-68.9876,166.486
53.7073,-10.5403,-68.9865,inf,53.7073,-10.5403,-68.9865,166.486
53.7071,-10.5445,-68.9896,inf,53.7071,-10.5445,-68.9896,166.487
53.7065,-10.5412,-68.9864,inf,53.7065,-10.5412,-68.9864,166.487
53.7074,-10.5413,-68.9874,inf,53.7074,-10.5413,-68.9874,166.487
53.7072,-10.5435,-68.9889,inf,53.7072,-10.5435,-68.9889,166.487
53.707,-10.5398,-68.9858,inf,53.707,-10.5398,-68.9858,166.487
53.7079,-10.5413,-68.9879,inf,53.7079,-10.5413,-68.9879,166.486
53.7067,-10.542,-68.9873,inf,53.7067,-10.542,-68.9873,166.487
133.625,-36.5112,-20.4779,inf,133.625,-36.5112,-20.4779,70.7599
53.7077,-10.545,-68.9906,inf,53.7077,-10.545,-68.9906,166.487
137.615,-35.2827,-19.038,inf,137.615,-35.2827,-19.038,66.8651
149.698,-37.9237,-7.1778,inf,149.698,-37.9237,-7.1778,52.2269
53.7073,-10.542,-68.9879,inf,53.7073,-10.542,-68.9879,166.487
53.7082,-10.5408,-68.9877,inf,53.7082,-10.5408,-68.9877,166.486
53.7076,-10.5413,-68.9875,inf,53.7076,-10.5413,-68.9875,166.486
53.7075,-10.5477,-68.9925,inf,53.7075,-10.5477,-68.9925,166.487
137.614,-35.2822,-19.0347,inf,137.614,-35.2822,-19.0347,66.8654
53.7076,-10.5421,-68.9882,inf,53.7076,-10.5421,-68.9882,166.487
53.7067,-10.5417,-68.9869,inf,53.7067,-10.5417,-68.9869,166.487
101.524,-33.465,-41.5197,inf,101.524,-33.465,-41.5197,108.143
53.7066,-10.5465,-68.9907,inf,53.7066,-10.5465,-68.9907,166.487
146.507,-37.445,-10.0103,inf,146.507,-37.445,-10.0103,55.8514
141.067,-35.0668,-16.7917,inf,141.067,-35.0668,-16.7917,63.0723
53.7069,-10.5422,-68.9876,inf,53.7069,-10.5422,-68.9876,166.487
53.7069,-10.5404,-68.9862,inf,53.7069,-10.5404,-68.9862,166.487
53.7075,-10.5425,-68.9885,inf,53.7075,-10.5425,-68.9885,166.487
53.7073,-10.5445,-68.9898,inf,53.7073,-10.5445,-68.9898,166.487
53.7079,-10.541,-68.9877,inf,53.7079,-10.541,-68.9877,166.486
53.7073,-10.5429,-68.9885,inf,53.7073,-10.5429,-68.9885,166.487
53.7075,-10.5455,-68.9908,inf,53.7075,-10.5455,-68.9908,166.487
104.619,-34.3102,-39.7644,inf,104.619,-34.3102,-39.7644,104.523
53.7071,-10.5415,-68.9873,inf,53.7071,-10.5415,-68.9873,166.487
53.7071,-10.5412,-68.987,inf,53.7071,-10.5412,-68.987,166.487
53.7069,-10.5484,-68.9923,inf,53.7069,-10.5484,-68.9923,166.487
53.7066,-10.5415,-68.9867,inf,53.7066,-10.5415,-68.9867,166.487
53.7083,-10.5416,-68.9884,inf,53.7083,-10.5416,-68.9884,166.486
53.7079,-10.5406,-68.9872,inf,53.7079,-10.5406,-68.9872,166.486
53.7062,-10.5439,-68.9881,inf,53.7062,-10.5439,-68.9881,166.487
53.7072,-10.5419,-68.9877,inf,53.7072,-10.5419,-68.9877,166.487
